Article title - Question,Article subtitle - Complementary,Article body - Answer,Article language,Article URL,Category,Keywords
Can I claim my XPedition rewards to an external wallet?,,"Yes! You can claim your rewards to an external wallet that supports the Polygon chain, such as Metamask, Coinbase, or the default CG Wallet through Magic.",en,https://hubspot.communitygaming.io/help-center/can-i-claim-my-xpedition-rewards-to-an-external-wallet,XPeditions,"Sequence,XP,add external wallet,claim prize,claim reward,crypto claim,crypto prize,metamask,polygon,update wallet,wallet transfer,xpeditions"
Why should I organize tournaments on Community Gaming?,This article highlights the support that Community Gaming resources offer to Tournament organizers hosting tournaments through the platform; such as prize pool grant funding.,"<p><strong>Community Support:</strong></p>
<p>At Community Gaming, we're here to support you every step of the way. Our dedicated team of Community Managers is readily available to provide guidance and assistance. You can also connect with us on Discord, where you're encouraged to ask any questions you may have.</p>
<p>&nbsp;</p>
<p><strong>Prize Pool Grants:</strong></p>
<p>The Play2Learn Foundation (P2L) is on a mission to provide prize pool grants to grassroots tournament organizers. This initiative is dedicated to nurturing and supporting the growth of community-driven tournaments.</p>
<p>&nbsp;</p>
<p>For more details, please refer to the full article available <a href=""https://www.communitygaming.io/blog/benefits-of-becoming-a-tournament-organizer"" rel=""noopener"">here</a>.</p>",en,https://hubspot.communitygaming.io/help-center/why-should-i-organize-tournaments-on-community-gaming,Organizer Support,"How do I organize my first event on your platform?,grant,organizer application,prize,tournament organizer"
What is a Sequence wallet?,"This article introduces Sequence, a versatile crypto wallet that supports various blockchains like Ethereum, Polygon, Avalanche, and Solana.","Sequence is an amazing multi-chain wallet that brings convenience to your crypto experience. It supports a wide range of blockchains, including Ethereum, Polygon, Avalanche, and Solana. Plus, it offers some cool features like built-in NFT support, easy on-ramp and off-ramp options, and even a nifty yield aggregator.<br><br>You can get it as a browser extension or a mobile app. To start enjoying all these benefits, create your <a href=""https://sequence.app/auth"" rel=""noopener"">Sequence wallet</a> right here, and don't forget to link it to your Community Gaming account.<br><br>We're excited to have you on board!",en,https://hubspot.communitygaming.io/help-center/what-is-a-sequence-wallet,Wallet,"Sequence,wallet"
How do I report match scores?,This article highlights how players can report their match results into tournament brackets. ,"<p>For games that aren't currently supported by our platform's API, players have the ability to self-report their scores into the bracket. Here's how it works:</p>
<p>Players can self-report scores, and if both players report the same results, the bracket will automatically update without requiring admin intervention.</p>
<p>As the Tournament Organizer (TO) or a player, you have the option to manually report match scores individually when necessary. Just follow these steps:</p>
<ol>
<li>&nbsp;Click on the ""Brackets"" tab for the tournament you're managing.</li>
<li>Go to the specific round for which you want to report the score.</li>
<li>Click on the match that involves your name to access the score reporting screen (<a href=""https://imgur.com/ma541X9"" rel=""noopener"">see this image for reference</a>).</li>
<li>Enter the score and click ""Report Score"" to confirm your submission.</li>
</ol>
Reporting the results of the final match will conclude the tournament, and you can then verify the results. This action will trigger the release of prize pool funds from Crypto tournaments, transferring them to the winning players.",en,https://hubspot.communitygaming.io/help-center/how-do-i-report-match-scores,Tournament Support,"Community Gaming,bracket,score,tournament organizer,tourney,tourney edit"
How do I donate to a tournament's prize pools?,,"<p>To contribute to a tournament's prize pool, follow these simple steps:</p>
<ol>
<li>Go to the Tournament page.</li>
<li>Click on the 'Donate' button.</li>
<li>At the prompt, enter your desired donation amount.</li>
<li>Click 'Submit' to complete the transaction.</li>
</ol>
Your contribution will go towards enhancing the tournament's prize pool. If you have any more questions or need further assistance, feel free to reach out. Our Community Support team is here to assist!",en,https://hubspot.communitygaming.io/help-center/how-do-i-donate-to-a-tournaments-prize-pools,Tournament Support,"crypto claim,crypto prize,donate,tournament organizer,tourney,tourney edit"
How do I get plugged in to your community?,This article invites you to stay connected with Community Gaming on various social media platforms:,"<p>Stay in the loop with all things Community Gaming by following our social media channels!</p>
<p>Join our vibrant <a href=""https://discord.com/invite/community-gaming"" rel=""noopener"">Discord Community</a> to discover:</p>
<ul>
<li>Upcoming tournaments, both those hosted by CG and fellow community members.</li>
<li>Exciting community events, including coffee hours, giveaways, networking opportunities, and career openings posted by your fellow community members.</li>
<li>Engage in conversations with the friendly faces of the CG Community Managers!</li>
</ul>
And don't forget to check us out on Twitter, Instagram, and Facebook to keep up with the latest news, events, and updates.",en,https://hubspot.communitygaming.io/help-center/how-do-i-get-plugged-in-to-your-community,Other,"Community Gaming,Learn more,Social Media"
I registered for a tournament! How do I check-in?,,"<p>Here's how it works:</p>
<ol>
<li><strong>Countdown Timer:</strong> After registration, the tournament registration button transforms into a countdown timer. This timer indicates when the check-in process will become available.</li>
<li><strong> Check-In Opens: </strong>Click the timer button after the check-in countdown reaches zero. Complete the check-in process.&nbsp;</li>
</ol>
<p>Here's a helpful <a href=""https://imgur.com/GPb1Ys9"" rel=""noopener"">visual guide</a>!</p>
<p>Count on us for a stress-free tournament experience!</p>
<p>You're all set!</p>",en,https://hubspot.communitygaming.io/help-center/i-registered-for-a-tournament-how-do-i-check-in,Tournament Support,"Community Gaming,bracket,check-in,tournament organizer,tourney"
Join Your First Tournament,In this article you will learn how to locate tournaments and how to register in public tournaments. ,"<p>1. <strong>Find a Tournament:</strong></p>
<p>Discover a list of the latest tournaments on our <a href=""https://communitygaming.io/newTeam"" rel=""noopener"">Homepage</a>. These tournaments are open for registration. Click on a tournament to view details.</p>
<p>&nbsp;</p>
<p>2. <strong>Enroll in the Tournament:</strong></p>
<p>To participate, simply click the 'Join Tournament' button, and a registration window will appear.</p>
<p style=""padding-left: 40px;"">i) For 1v1 Games: No team creation necessary. Once the tournament begins, find the bracket in the 'Brackets' tab. From there, contact your opponent and kick off your match.</p>
<p style=""padding-left: 40px;"">ii) For Team-Based Tournaments: <a href=""https://communitygaming.io/newTeam"" rel=""noopener"">Create </a>or join a team and invite your teammates! After all team members accept your invitation, click the 'Join Tournament' button above. Here's an <a href=""https://imgur.com/3Xhzr3T"" rel=""noopener"">example </a>of how the team creation process looks like.</p>
<p>&nbsp;</p>
<p>Connect on Discord:</p>
<p>Join <a href=""https://discord.com/invite/community-gaming"" rel=""noopener"">our Discord community</a>, where you can interact with tournament admins, meet fellow players, and find teams to join!</p>",en,https://hubspot.communitygaming.io/help-center/join-your-first-tournament,Tournament Support,"claim reward,free tournaments,grant,tournament organizer,tourney"
Who is Community Gaming?,,"Community Gaming is the all-in-one platform offering esports infrastructure to all key stakeholders in the industry. Through its seamless UX and highly scalable payment technology, the platform equips players, organizers, and game developers with the tools they need to simply create, facilitate, and participate in esports tournaments.",en,https://hubspot.communitygaming.io/help-center/who-is-community-gaming,Other,"Community Gaming,Learn more"
"I want to join a team tournament, but I don’t have enough teammates to create my own team.",,"Join <a href=""https://discord.com/invite/community-gaming"" rel=""noopener"">our Discord</a>! Find potential teammates in the #looking-for-team channel. The #tournaments channel is also great; discover more tournaments hosted by your fellow community members.&nbsp;",en,https://hubspot.communitygaming.io/help-center/i-want-to-join-a-team-tournament-but-i-dont-have-enough-teammates-to-create-my-own-team,Tournament Support,"Community Gaming,Learn more,Social Media,Socials,team,tourney"
